DfE,School Name,Ward
2005,Abbey Park Primary Academy,Illingworth and Mixenden
5201,All Saints' CofE VA Junior and Infant School,Skircoat
2093,Ash Green Community Primary School,Illingworth and Mixenden
2040,Bailiffe Bridge Junior and Infant School,Hipperholme and Lightcliffe
3321,Barkisland CofE VA Primary School,Ryburn
2019,Beech Hill School,Park
2063,Bolton Brow Primary Academy,Sowerby Bridge
2048,Bowling Green Primary School,Greetland and Stainland
2004,Bradshaw Primary Academy,Illingworth and Mixenden
2053,Burnley Road Academy,Luddendenfoot
2042,Carr Green Primary School,Rastrick
2068,Castle Hill Primary School,Calder
3323,Christ Church CofE VA Junior School  Sowerby Bridge,Sowerby Bridge
3001,Christ Church Pellon CofE VC Primary School,Warley
2076,Cliffe Hill Community Primary School,Hipperholme and Lightcliffe
2059,Colden Junior and Infant School,Calder
2006,Copley Primary School,Skircoat
2069,Cornholme Junior  Infant and Nursery School,Todmorden
2055,Cragg Vale Junior and Infant School,Luddendenfoot
2087,Cross Lane Primary and Nursery School,Elland
2007,Dean Field Community Primary School,Ovenden
3318,Elland CofE (VA) Junior and Infant School,Elland
2003,Ferney Lee Primary School,Todmorden
2000,Field Lane Primary School,Rastrick
3319,Hebden Royd CofE VA Primary School,Calder
2058,Heptonstall Junior Infant and Nursery School,Calder
7010,Highbury School,Rastrick
3331,Holy Trinity Primary School (COEA),Skircoat
2050,Holywell Green Primary School,Greetland and Stainland
2010,Lee Mount Primary School,Ovenden
5204,Lightcliffe CofE VA Primary School,Hipperholme and Lightcliffe
2033,Ling Bob Junior  Infant and Nursery School,Warley
5207,Longroyde Junior School,Rastrick
3014,Luddenden CE School,Luddendenfoot
2064,Luddendenfoot Academy,Luddendenfoot
2065,Midgley School,Luddendenfoot
3332,Moorside Community Primary school,Ovenden
2002,Mount Pellon Primary Academy,Warley
2066,New Road Primary School,Sowerby Bridge
3010,Norland CofE (VC) Junior and Infant School,Greetland and Stainland
2015,Northowram Primary School,Northowram and Shelf
2083,Old Earth School,Elland
2075,Old Town Primary School,Calder
2017,Parkinson Lane Community Primary School,Park
2001,Rawson Junior and Infant School,Town
2061,Ripponden Junior and Infant School,Ryburn
2082,Riverside Junior School,Calder
3328,Sacred Heart Catholic Voluntary Academy,Ryburn
2021,Salterhebble Junior and Infant School,Skircoat
5200,Salterlee Academy Trust,Northowram and Shelf
2009,Savile Park Primary School,Skircoat
2056,Scout Road Academy,Luddendenfoot
2073,Shade Primary School,Todmorden
2060,Shelf Junior and Infant School,Northowram and Shelf
2094,Siddal Primary School,Northowram and Shelf
2095,Sowerby Village CofE VC Primary School,Ryburn
3314,St Andrew's CofE (VA) Junior School,Brighouse
3303,St Augustine's CofE VA Junior and Infant School,Park
5206,St Chad's CofE (VA) Primary School,Brighouse
5203,St John's (CE) Primary Academy  Clifton,Brighouse
3322,St John's CofE Primary School  Rishworth,Ryburn
3329,St Joseph's Catholic Primary School  Brighouse,Brighouse
3305,St Joseph's Catholic Primary School  Halifax,Northowram and Shelf
3330,St Joseph's RC Primary School  Todmorden,Todmorden
3306,St Malachy's Catholic Primary School,Ovenden
3308,St Mary's Catholic Primary School  Halifax,Skircoat
3011,St Mary's CofE (VC) J and I School  Sowerby Bridge,Ryburn
5202,St Michael and All Angels CofE Primary School,Northowram and Shelf
3327,St Patrick's Catholic Primary School,Elland
2049,The Greetland Academy,Greetland and Stainland
3326,Todmorden CofE (VA) Junior and Infant School,Todmorden
3013,Triangle CofE VC Primary School,Ryburn
2027,Wainstalls School,Luddendenfoot
5208,Walsden St Peter's CE (VC) Primary School,Todmorden
2028,Warley Road Primary School,Park
2030,Warley Town School,Warley
5205,West Vale Primary School,Greetland and Stainland
2031,Whitehill Community Academy,Illingworth and Mixenden
2046,Withinfields Primary School,Town
7008,Wood Bank School,Luddendenfoot
2081,Woodhouse Primary School,Rastrick
